pays_norm,type,bigrams_noun_adj,trigrams_noun_adj,trigrams_with_verbs
Algérie,Fiction,jeune_prostituée | fille_joie | beau_jour | femme_prostituée | réseau_prostitution,vieux_métier_monde | propriétaire_maison_clos | prostituée_maison_clos | femme_mauvais_vie | maison_clos_prostituée,avoir_relation_prostituée | pénaliser_client_prostituée | prostitution_violence_faire | faire_appel_service | solliciter_service_prostituée
Algérie,Réalité,prostitution_mineur | réseau_prostitution | salon_massage | maison_clos | drogue_prostitution,prostitution_mineur_abus | création_lieu_débauche | traite_être_humain | vieux_métier_monde | recours_prostitution_mineur,accuser_prostitution_mineur | démanteler_réseau_prostitution | pouvoir_prostitution_mineur | abus_pouvoir_prostitution | réseau_prostitution_démanteler
Autre,Fiction,maison_clos | prostitution_drogue | drogue_prostitution | travailleur_sexe | lieu_prostitution,tueur_série_prostituée | jeune_fille_prostitution | prostituée_maison_clos | fermeture_maison_clos,travailleur_sexe_avoir
Autre,Réalité,exploitation_sexuel | enfant_prostitution | drogue_prostitution | travailleur_sexe | réseau_prostitution,traite_être_humain | pire_forme_travail | forme_exploitation_sexuel | victime_traite_être | lutte_traite_être,louer_appartement_prostituée | personne_livrer_prostitution | accuser_proxénétisme_aggraver | fait_proxénétisme_aggraver | femme_livrer_prostitution
Belgique,Fiction,jeune_prostituée | réseau_prostitution | maison_clos | drogue_prostitution | beau_jour,vieux_métier_monde | traite_être_humain | tueur_série_prostituée | trafic_être_humain | prostituée_grand_coeur,aller_voir_prostituée | prostitution_faire_partie | venir_aide_prostituée | femme_vendre_corps | faire_appel_service
Belgique,Réalité,travailleur_sexe | réseau_prostitution | prostitution_rue | exploitation_sexuel | prostitution_mineur,traite_être_humain | trafic_être_humain | être_humain_prostitution | vieux_métier_monde | travailleur_travailleur_sexe,travailleur_sexe_avoir | tenir_maison_débauche | aller_voir_prostituée | faire_appel_service | avoir_recours_service
Canada,Fiction,jeune_prostituée | prostitution_juvénile | réseau_prostitution | drogue_prostitution | gang_rue,vieux_métier_monde | prostituée_grand_coeur | réseau_prostitution_juvénile | tueur_série_prostituée | jeune_fille_prostitution,faire_appel_service | venir_aide_prostituée | avoir_recours_service | démanteler_réseau_prostitution | faire_commerce_corps
Canada,Réalité,prostitution_juvénile | réseau_prostitution | service_sexuel | travailleur_sexe | exploitation_sexuel,réseau_prostitution_juvénile | client_réseau_prostitution | dossier_prostitution_juvénile | vieux_métier_monde | projet_intervention_prostitution,vivre_fruit_prostitution | tenir_maison_débauche | réseau_prostitution_démanteler | intégrer_lutte_proxénétisme | avoir_recours_service
Chine,Fiction,prostitution_juvénile | lutte_prostitution,,
Chine,Réalité,exploitation_sexuel | enfant_prostitution | prostitution_enfant | réseau_prostitution | femme_réconfort,trafic_être_humain | traite_être_humain | lutte_traite_être | être_humain_prostitution | exploitation_sexuel_enfant,démanteler_réseau_prostitution | proxénétisme_aggraver_réunion | femme_participer_prostituée | avoir_relation_prostituée | femme_livrer_prostitution
France,Fiction,jeune_prostituée | maison_clos | réseau_prostitution | ancien_prostituée | drogue_prostitution,prostituée_grand_coeur | maison_clos_paris | souvenir_maison_clos | prostituée_maison_clos | vieux_métier_monde,décider_vivre_prostituée | vivre_prostituée_origine | maison_prostituée_avoir | prostituée_avoir_visage | rue_tarif_réduire
France,Réalité,réseau_prostitution | prostitution_mineur | maison_clos | client_prostituée | travailleur_sexe,traite_être_humain | trafic_être_humain | proxénétisme_bande_organisé | brigade_répression_proxénétisme | prostitution_mineur_abus,mettre_examen_proxénétisme | examen_proxénétisme_aggraver | avoir_relation_tarifer | avoir_recours_service | réseau_prostitution_démanteler
Inconnu,Fiction,réseau_prostitution | gang_rue | drogue_prostitution | ancien_prostituée | prostitution_juvénile,prostitution_jeune_fille | traite_être_humain | trafic_être_humain | exploitation_sexuel_femme | projet_intervention_prostitution,femme_vendre_corps | impliquer_réseau_prostitution | diriger_réseau_prostitution | faire_commerce_charme | affaire_réseau_prostitution
Inconnu,Réalité,exploitation_sexuel | gang_rue | drogue_prostitution | réseau_prostitution | travailleur_sexe,traite_être_humain | projet_intervention_prostitution | trafic_être_humain | intervention_prostitution_pipq | salon_massage_érotique,proxénétisme_aggraver_réunion | poursuivre_proxénétisme_aggraver | personne_livrer_prostitution | renforcer_lutte_système | accuser_proxénétisme_aggraver
Suisse,Fiction,grisélidis_réal | maison_clos | jeune_prostituée | réseau_prostitution | drogue_prostitution,souvenir_maison_clos | prostituée_grand_coeur | vieux_métier_monde | tueur_série_prostituée | traite_être_humain,aller_voir_prostituée | venir_aide_prostituée | avoir_recours_prostitution | impliquer_réseau_prostitution | faire_commerce_charme
Suisse,Réalité,travailleur_sexe | salon_massage | prostitution_mineur | maison_clos | réseau_prostitution,traite_être_humain | trafic_être_humain | vieux_métier_monde | travailleur_travailleur_sexe | prostitution_mineur_abus,avoir_recours_service | accuser_prostitution_mineur | avoir_relation_tarifer | avoir_relation_prostituée | aller_voir_prostituée
